Customer_ID,Serial_No,Product_Type,Contract_Status,Contract_Start,Contract_End,Support_Package,Warranty,Last_Year_Discount,Previous_Contracts,Renewal
C012,S112,Monitor,Active,2021-08-02,2022-06-26,Basic,Yes,11,4,Yes
C002,S102,Printer,Expired,2021-02-05,2022-03-17,Standard,No,13,5,No
C010,S110,Laptop,Active,2022-01-16,2023-01-18,Standard,Yes,17,2,Yes
C004,S104,Laptop,Expired,2020-11-30,2021-12-07,Standard,Yes,24,0,No
C014,S114,Printer,Active,2022-02-17,2023-01-27,Premium,Yes,14,3,Yes
C016,S116,Laptop,Active,2022-07-25,2023-07-20,Standard,Yes,34,5,Yes
C015,S115,Monitor,Expired,2021-05-10,2022-06-14,Basic,No,25,5,No
C008,S108,Printer,Active,2021-08-26,2022-09-13,Premium,Yes,34,4,Yes
C014,S114,Printer,Active,2022-03-06,2023-02-05,Premium,Yes,7,0,Yes
C008,S108,Printer,Active,2021-10-09,2022-09-11,Premium,Yes,22,3,Yes
C016,S116,Laptop,Active,2022-07-24,2023-07-11,Standard,Yes,29,3,Yes
C013,S113,Laptop,Expired,2020-08-24,2021-09-15,Standard,No,18,3,No
C018,S118,Monitor,Active,2021-04-20,2022-03-25,Basic,Yes,17,0,Yes
C015,S115,Monitor,Expired,2021-04-24,2022-04-30,Basic,No,12,3,No
C013,S113,Laptop,Expired,2020-08-30,2021-09-28,Standard,No,28,4,No
C009,S109,Monitor,Expired,2020-07-21,2021-07-27,Basic,No,11,2,No
C015,S115,Monitor,Expired,2021-05-26,2022-05-30,Basic,No,14,1,No
C013,S113,Laptop,Expired,2020-10-06,2021-08-28,Standard,No,29,1,No
C001,S101,Laptop,Active,2020-04-20,2021-11-29,Premium,Yes,5,3,Yes
C007,S107,Laptop,Expired,2020-04-04,2021-03-15,Standard,No,26,3,No
C009,S109,Monitor,Expired,2020-07-29,2021-07-10,Basic,No,18,1,No
C001,S101,Laptop,Active,2020-04-21,2021-11-10,Premium,Yes,21,5,Yes
C012,S112,Monitor,Active,2021-07-23,2022-07-18,Basic,Yes,21,1,Yes
C008,S108,Printer,Active,2021-10-23,2022-08-25,Premium,Yes,11,1,Yes
C011,S111,Printer,Expired,2020-11-25,2021-11-23,Premium,No,24,3,No
C019,S119,Laptop,Expired,2020-01-29,2020-12-09,Standard,No,27,1,No
C017,S117,Printer,Expired,2020-11-18,2021-10-28,Premium,No,33,1,No
C008,S108,Printer,Active,2021-10-17,2022-09-29,Premium,Yes,29,0,Yes
C003,S103,Monitor,Active,2022-04-08,2023-03-25,Basic,Yes,19,5,Yes
C003,S103,Monitor,Active,2022-04-12,2023-04-08,Basic,Yes,20,1,Yes
C001,S101,Laptop,Active,2020-05-16,2021-10-18,Premium,Yes,24,4,Yes
C005,S105,Printer,Active,2021-04-24,2022-04-21,Premium,No,14,5,Yes
C010,S110,Laptop,Active,2022-01-03,2023-01-28,Standard,Yes,9,0,Yes
C007,S107,Laptop,Expired,2020-03-25,2021-03-08,Standard,No,31,5,No
C009,S109,Monitor,Expired,2020-06-20,2021-06-07,Basic,No,13,1,No
C007,S107,Laptop,Expired,2020-03-22,2021-02-14,Standard,No,10,3,No
C009,S109,Monitor,Expired,2020-06-10,2021-07-23,Basic,No,8,0,No
C008,S108,Printer,Active,2021-09-01,2022-08-29,Premium,Yes,24,3,Yes
C012,S112,Monitor,Active,2021-06-27,2022-06-26,Basic,Yes,22,3,Yes
C002,S102,Printer,Expired,2021-02-14,2022-04-02,Standard,No,5,4,No
C001,S101,Laptop,Active,2020-05-10,2021-12-06,Premium,Yes,15,3,Yes
C016,S116,Laptop,Active,2022-08-01,2023-08-31,Standard,Yes,29,1,Yes
C005,S105,Printer,Active,2021-04-16,2022-05-27,Premium,No,14,0,Yes
C003,S103,Monitor,Active,2022-04-09,2023-04-18,Basic,Yes,25,1,Yes
C012,S112,Monitor,Active,2021-07-25,2022-06-19,Basic,Yes,18,3,Yes
C008,S108,Printer,Active,2021-10-24,2022-09-04,Premium,Yes,25,2,Yes
C003,S103,Monitor,Active,2022-03-03,2023-04-05,Basic,Yes,16,1,Yes
C001,S101,Laptop,Active,2020-05-05,2021-10-24,Premium,Yes,13,1,Yes
C003,S103,Monitor,Active,2022-04-22,2023-04-06,Basic,Yes,21,1,Yes
C005,S105,Printer,Active,2021-05-09,2022-04-17,Premium,No,19,4,Yes
C015,S115,Monitor,Expired,2021-05-08,2022-05-04,Basic,No,8,0,No
C014,S114,Printer,Active,2022-02-11,2023-02-13,Premium,Yes,16,4,Yes
C003,S103,Monitor,Active,2022-03-02,2023-03-19,Basic,Yes,7,3,Yes
C001,S101,Laptop,Active,2020-05-29,2021-11-29,Premium,Yes,16,1,Yes
C005,S105,Printer,Active,2021-05-07,2022-04-07,Premium,No,13,1,Yes
C014,S114,Printer,Active,2022-01-30,2023-02-08,Premium,Yes,15,1,Yes
C007,S107,Laptop,Expired,2020-03-27,2021-03-27,Standard,No,25,0,No
C009,S109,Monitor,Expired,2020-07-13,2021-07-21,Basic,No,18,3,No
C015,S115,Monitor,Expired,2021-05-13,2022-06-05,Basic,No,26,5,No
C015,S115,Monitor,Expired,2021-06-07,2022-06-15,Basic,No,31,0,No
C010,S110,Laptop,Active,2022-01-29,2022-12-24,Standard,Yes,15,5,Yes
C013,S113,Laptop,Expired,2020-08-21,2021-09-26,Standard,No,18,0,No
C019,S119,Laptop,Expired,2019-12-27,2021-01-31,Standard,No,25,5,No
C007,S107,Laptop,Expired,2020-02-18,2021-02-22,Standard,No,25,4,No
C017,S117,Printer,Expired,2020-11-04,2021-10-22,Premium,No,21,3,No
C020,S120,Printer,Active,2022-07-21,2023-06-14,Premium,Yes,22,2,Yes
C004,S104,Laptop,Expired,2020-11-23,2021-11-25,Standard,Yes,20,0,No
C005,S105,Printer,Active,2021-04-29,2022-05-22,Premium,No,17,2,Yes
C007,S107,Laptop,Expired,2020-04-01,2021-03-06,Standard,No,19,4,No
C013,S113,Laptop,Expired,2020-08-30,2021-09-27,Standard,No,21,4,No
C015,S115,Monitor,Expired,2021-06-09,2022-05-20,Basic,No,17,5,No
C011,S111,Printer,Expired,2020-11-22,2021-12-20,Premium,No,10,5,No
C004,S104,Laptop,Expired,2020-10-23,2021-11-29,Standard,Yes,13,1,No
C013,S113,Laptop,Expired,2020-09-12,2021-09-22,Standard,No,29,3,No
C007,S107,Laptop,Expired,2020-03-14,2021-03-29,Standard,No,30,2,No
C019,S119,Laptop,Expired,2019-12-06,2021-01-18,Standard,No,33,0,No
C002,S102,Printer,Expired,2021-03-07,2022-03-23,Standard,No,14,0,No
C010,S110,Laptop,Active,2022-02-18,2023-02-04,Standard,Yes,31,1,Yes
C013,S113,Laptop,Expired,2020-10-08,2021-09-23,Standard,No,14,3,No
C006,S106,Monitor,Active,2022-08-09,2023-06-25,Basic,Yes,5,3,Yes
C012,S112,Monitor,Active,2021-07-07,2022-07-24,Basic,Yes,20,3,Yes
C012,S112,Monitor,Active,2021-07-02,2022-07-31,Basic,Yes,34,4,Yes
C020,S120,Printer,Active,2022-06-06,2023-06-15,Premium,Yes,6,3,Yes
C011,S111,Printer,Expired,2020-11-04,2021-12-21,Premium,No,30,1,No
C007,S107,Laptop,Expired,2020-03-25,2021-02-10,Standard,No,6,4,No
C001,S101,Laptop,Active,2020-04-29,2021-11-26,Premium,Yes,33,2,Yes
C001,S101,Laptop,Active,2020-05-23,2021-10-17,Premium,Yes,5,5,Yes
C020,S120,Printer,Active,2022-07-25,2023-06-27,Premium,Yes,17,0,Yes
C013,S113,Laptop,Expired,2020-08-23,2021-08-14,Standard,No,13,0,No
C009,S109,Monitor,Expired,2020-07-06,2021-07-16,Basic,No,13,5,No
C003,S103,Monitor,Active,2022-03-03,2023-03-20,Basic,Yes,12,3,Yes
C007,S107,Laptop,Expired,2020-03-15,2021-02-09,Standard,No,26,1,No
C006,S106,Monitor,Active,2022-06-30,2023-08-10,Basic,Yes,13,0,Yes
C008,S108,Printer,Active,2021-10-19,2022-10-03,Premium,Yes,31,5,Yes
C009,S109,Monitor,Expired,2020-06-13,2021-06-23,Basic,No,7,0,No
C005,S105,Printer,Active,2021-04-22,2022-05-04,Premium,No,28,1,Yes
C001,S101,Laptop,Active,2020-06-13,2021-10-21,Premium,Yes,34,0,Yes
C019,S119,Laptop,Expired,2020-01-20,2021-01-29,Standard,No,33,2,No
C010,S110,Laptop,Active,2022-01-25,2023-01-26,Standard,Yes,24,0,Yes
C012,S112,Monitor,Active,2021-08-06,2022-08-11,Basic,Yes,12,0,Yes
C015,S115,Monitor,Expired,2021-06-02,2022-05-08,Basic,No,8,0,No
C009,S109,Monitor,Expired,2020-07-14,2021-06-06,Basic,No,29,0,No
C020,S120,Printer,Active,2022-07-25,2023-06-19,Premium,Yes,12,2,Yes
C017,S117,Printer,Expired,2020-10-27,2021-11-15,Premium,No,24,2,No
C017,S117,Printer,Expired,2020-11-07,2021-11-10,Premium,No,14,3,No
C020,S120,Printer,Active,2022-06-18,2023-07-12,Premium,Yes,28,3,Yes
C012,S112,Monitor,Active,2021-07-17,2022-06-15,Basic,Yes,30,1,Yes
C007,S107,Laptop,Expired,2020-03-11,2021-02-21,Standard,No,22,4,No
C002,S102,Printer,Expired,2021-03-01,2022-03-10,Standard,No,33,2,No
C003,S103,Monitor,Active,2022-03-06,2023-04-08,Basic,Yes,6,1,Yes
C017,S117,Printer,Expired,2020-12-04,2021-10-30,Premium,No,5,2,No
C005,S105,Printer,Active,2021-04-21,2022-04-11,Premium,No,33,4,Yes
C017,S117,Printer,Expired,2020-12-14,2021-10-21,Premium,No,18,0,No
C017,S117,Printer,Expired,2020-10-26,2021-10-27,Premium,No,34,4,No
C017,S117,Printer,Expired,2020-11-06,2021-11-11,Premium,No,16,5,No
C002,S102,Printer,Expired,2021-02-22,2022-02-24,Standard,No,15,5,No
C002,S102,Printer,Expired,2021-02-02,2022-03-22,Standard,No,25,2,No
C005,S105,Printer,Active,2021-05-08,2022-06-02,Premium,No,5,5,Yes
C001,S101,Laptop,Active,2020-06-05,2021-10-19,Premium,Yes,6,0,Yes
C001,S101,Laptop,Active,2020-05-05,2021-11-23,Premium,Yes,26,2,Yes
C019,S119,Laptop,Expired,2020-01-08,2021-01-18,Standard,No,27,5,No
C002,S102,Printer,Expired,2021-01-16,2022-02-05,Standard,No,12,1,No
C012,S112,Monitor,Active,2021-07-01,2022-07-01,Basic,Yes,18,3,Yes
C006,S106,Monitor,Active,2022-08-13,2023-07-10,Basic,Yes,11,3,Yes
C004,S104,Laptop,Expired,2020-11-05,2021-11-15,Standard,Yes,12,5,No
C011,S111,Printer,Expired,2020-11-15,2021-11-04,Premium,No,5,3,No
C017,S117,Printer,Expired,2020-12-02,2021-12-06,Premium,No,11,1,No
C006,S106,Monitor,Active,2022-07-08,2023-08-03,Basic,Yes,8,5,Yes
C005,S105,Printer,Active,2021-04-09,2022-04-20,Premium,No,27,5,Yes
C020,S120,Printer,Active,2022-06-21,2023-06-15,Premium,Yes,34,3,Yes
C002,S102,Printer,Expired,2021-02-03,2022-03-25,Standard,No,33,2,No
C006,S106,Monitor,Active,2022-07-06,2023-07-27,Basic,Yes,14,3,Yes
C011,S111,Printer,Expired,2020-12-23,2021-11-02,Premium,No,6,1,No
C016,S116,Laptop,Active,2022-08-09,2023-08-12,Standard,Yes,8,4,Yes
C016,S116,Laptop,Active,2022-07-12,2023-07-31,Standard,Yes,31,0,Yes
C001,S101,Laptop,Active,2020-04-29,2021-12-05,Premium,Yes,7,2,Yes
C009,S109,Monitor,Expired,2020-07-03,2021-07-03,Basic,No,21,4,No
C006,S106,Monitor,Active,2022-06-29,2023-08-14,Basic,Yes,10,4,Yes
C016,S116,Laptop,Active,2022-08-07,2023-08-11,Standard,Yes,25,2,Yes
C003,S103,Monitor,Active,2022-04-21,2023-02-26,Basic,Yes,12,0,Yes
C020,S120,Printer,Active,2022-06-26,2023-07-20,Premium,Yes,20,1,Yes
C004,S104,Laptop,Expired,2020-11-16,2021-10-16,Standard,Yes,17,3,No
C019,S119,Laptop,Expired,2020-01-18,2021-01-23,Standard,No,30,2,No
C003,S103,Monitor,Active,2022-03-22,2023-04-01,Basic,Yes,15,0,Yes
C019,S119,Laptop,Expired,2020-01-25,2021-02-02,Standard,No,26,0,No
C020,S120,Printer,Active,2022-06-27,2023-06-25,Premium,Yes,25,2,Yes
C007,S107,Laptop,Expired,2020-03-30,2021-03-26,Standard,No,29,2,No
C020,S120,Printer,Active,2022-06-20,2023-07-22,Premium,Yes,33,0,Yes
C009,S109,Monitor,Expired,2020-06-28,2021-06-13,Basic,No,18,2,No
C001,S101,Laptop,Active,2020-06-06,2021-11-09,Premium,Yes,17,5,Yes
C008,S108,Printer,Active,2021-09-25,2022-09-03,Premium,Yes,27,1,Yes
C007,S107,Laptop,Expired,2020-02-21,2021-02-08,Standard,No,17,2,No
C018,S118,Monitor,Active,2021-03-14,2022-03-27,Basic,Yes,10,3,Yes
C008,S108,Printer,Active,2021-09-17,2022-10-21,Premium,Yes,25,2,Yes
C001,S101,Laptop,Active,2020-05-16,2021-11-07,Premium,Yes,12,2,Yes
C011,S111,Printer,Expired,2020-11-21,2021-12-08,Premium,No,20,2,No
C018,S118,Monitor,Active,2021-03-18,2022-03-15,Basic,Yes,26,0,Yes
C010,S110,Laptop,Active,2022-01-25,2023-01-04,Standard,Yes,18,1,Yes
C003,S103,Monitor,Active,2022-02-25,2023-03-11,Basic,Yes,13,0,Yes
C007,S107,Laptop,Expired,2020-02-25,2021-03-18,Standard,No,29,1,No
C016,S116,Laptop,Active,2022-07-23,2023-08-26,Standard,Yes,28,0,Yes
C016,S116,Laptop,Active,2022-08-09,2023-08-18,Standard,Yes,27,2,Yes
C020,S120,Printer,Active,2022-06-29,2023-06-21,Premium,Yes,14,4,Yes
C017,S117,Printer,Expired,2020-11-06,2021-10-30,Premium,No,19,5,No
C002,S102,Printer,Expired,2021-01-14,2022-03-04,Standard,No,31,1,No
C001,S101,Laptop,Active,2020-05-24,2021-10-13,Premium,Yes,19,0,Yes
C016,S116,Laptop,Active,2022-07-11,2023-07-16,Standard,Yes,33,5,Yes
C012,S112,Monitor,Active,2021-07-16,2022-07-11,Basic,Yes,27,3,Yes
C005,S105,Printer,Active,2021-04-27,2022-04-21,Premium,No,22,5,Yes
C005,S105,Printer,Active,2021-04-26,2022-05-14,Premium,No,12,4,Yes
C009,S109,Monitor,Expired,2020-07-02,2021-06-09,Basic,No,15,1,No
C009,S109,Monitor,Expired,2020-07-14,2021-06-10,Basic,No,6,2,No
C003,S103,Monitor,Active,2022-02-27,2023-02-25,Basic,Yes,31,2,Yes
C019,S119,Laptop,Expired,2019-12-10,2020-12-15,Standard,No,5,3,No
C016,S116,Laptop,Active,2022-07-28,2023-07-26,Standard,Yes,34,0,Yes
C016,S116,Laptop,Active,2022-07-04,2023-07-06,Standard,Yes,14,2,Yes
C003,S103,Monitor,Active,2022-03-22,2023-04-11,Basic,Yes,21,1,Yes
C020,S120,Printer,Active,2022-06-15,2023-07-05,Premium,Yes,24,5,Yes
C001,S101,Laptop,Active,2020-04-21,2021-11-04,Premium,Yes,20,5,Yes
C020,S120,Printer,Active,2022-06-02,2023-06-08,Premium,Yes,31,3,Yes
C011,S111,Printer,Expired,2020-12-27,2021-12-20,Premium,No,12,1,No
C017,S117,Printer,Expired,2020-11-10,2021-12-14,Premium,No,22,5,No
C008,S108,Printer,Active,2021-09-21,2022-09-30,Premium,Yes,7,3,Yes
C004,S104,Laptop,Expired,2020-11-09,2021-11-10,Standard,Yes,10,0,No
C006,S106,Monitor,Active,2022-07-03,2023-07-15,Basic,Yes,15,4,Yes
C008,S108,Printer,Active,2021-08-30,2022-09-09,Premium,Yes,25,2,Yes
C020,S120,Printer,Active,2022-06-28,2023-06-24,Premium,Yes,23,1,Yes
C003,S103,Monitor,Active,2022-04-01,2023-03-24,Basic,Yes,14,2,Yes
C016,S116,Laptop,Active,2022-07-19,2023-08-14,Standard,Yes,32,0,Yes
C003,S103,Monitor,Active,2022-02-27,2023-03-15,Basic,Yes,12,2,Yes
C018,S118,Monitor,Active,2021-03-28,2022-03-21,Basic,Yes,22,4,Yes
C014,S114,Printer,Active,2022-03-05,2023-02-03,Premium,Yes,33,2,Yes
C018,S118,Monitor,Active,2021-03-23,2022-03-18,Basic,Yes,24,1,Yes
C002,S102,Printer,Expired,2021-02-18,2022-02-20,Standard,No,16,0,No
C003,S103,Monitor,Active,2022-02-23,2023-04-22,Basic,Yes,13,1,Yes
C016,S116,Laptop,Active,2022-08-01,2023-07-04,Standard,Yes,25,4,Yes
C009,S109,Monitor,Expired,2020-07-24,2021-06-28,Basic,No,15,3,No
C004,S104,Laptop,Expired,2020-10-28,2021-11-04,Standard,Yes,32,4,No
C001,S101,Laptop,Active,2020-05-04,2021-12-05,Premium,Yes,5,3,Yes
C004,S104,Laptop,Expired,2020-10-28,2021-12-03,Standard,Yes,28,2,No
C001,S101,Laptop,Active,2020-05-14,2021-10-22,Premium,Yes,7,0,Yes
C014,S114,Printer,Active,2022-01-30,2023-03-03,Premium,Yes,23,0,Yes
C016,S116,Laptop,Active,2022-08-08,2023-07-22,Standard,Yes,8,1,Yes
C020,S120,Printer,Active,2022-06-03,2023-06-26,Premium,Yes,8,2,Yes
C008,S108,Printer,Active,2021-09-18,2022-10-01,Premium,Yes,10,1,Yes
C007,S107,Laptop,Expired,2020-03-28,2021-03-11,Standard,No,18,0,No
C003,S103,Monitor,Active,2022-02-27,2023-03-30,Basic,Yes,29,4,Yes
C017,S117,Printer,Expired,2020-12-09,2021-11-24,Premium,No,30,3,No
C001,S101,Laptop,Active,2020-05-26,2021-10-13,Premium,Yes,13,3,Yes
C016,S116,Laptop,Active,2022-07-04,2023-07-14,Standard,Yes,33,1,Yes
C012,S112,Monitor,Active,2021-06-19,2022-07-26,Basic,Yes,31,1,Yes
C019,S119,Laptop,Expired,2020-01-13,2021-01-16,Standard,No,28,4,No
C014,S114,Printer,Active,2022-01-15,2023-02-18,Premium,Yes,17,5,Yes
C006,S106,Monitor,Active,2022-07-19,2023-08-04,Basic,Yes,7,3,Yes
C006,S106,Monitor,Active,2022-07-20,2023-06-27,Basic,Yes,8,4,Yes
C013,S113,Laptop,Expired,2020-08-13,2021-09-20,Standard,No,27,0,No
C019,S119,Laptop,Expired,2020-01-25,2020-12-14,Standard,No,7,1,No
C008,S108,Printer,Active,2021-09-14,2022-09-11,Premium,Yes,22,5,Yes
C002,S102,Printer,Expired,2021-02-20,2022-03-19,Standard,No,30,0,No
C001,S101,Laptop,Active,2020-06-03,2021-10-28,Premium,Yes,32,3,Yes
C015,S115,Monitor,Expired,2021-05-22,2022-05-18,Basic,No,18,5,No
C001,S101,Laptop,Active,2020-06-08,2021-10-17,Premium,Yes,33,4,Yes
C005,S105,Printer,Active,2021-04-29,2022-04-14,Premium,No,7,0,Yes
C016,S116,Laptop,Active,2022-08-10,2023-08-08,Standard,Yes,19,1,Yes
C019,S119,Laptop,Expired,2020-01-23,2021-01-02,Standard,No,6,3,No
C004,S104,Laptop,Expired,2020-11-17,2021-10-20,Standard,Yes,16,0,No
C003,S103,Monitor,Active,2022-04-10,2023-04-08,Basic,Yes,26,2,Yes
C017,S117,Printer,Expired,2020-12-12,2021-11-03,Premium,No,6,2,No
C017,S117,Printer,Expired,2020-12-04,2021-12-03,Premium,No,31,2,No
C012,S112,Monitor,Active,2021-08-02,2022-07-20,Basic,Yes,20,4,Yes
C014,S114,Printer,Active,2022-02-06,2023-03-01,Premium,Yes,28,2,Yes
C006,S106,Monitor,Active,2022-07-20,2023-06-25,Basic,Yes,22,2,Yes
C003,S103,Monitor,Active,2022-03-04,2023-03-06,Basic,Yes,28,1,Yes
C009,S109,Monitor,Expired,2020-06-03,2021-07-18,Basic,No,15,2,No
C005,S105,Printer,Active,2021-04-26,2022-05-31,Premium,No,33,0,Yes
C017,S117,Printer,Expired,2020-11-16,2021-11-29,Premium,No,18,2,No
C014,S114,Printer,Active,2022-03-13,2023-02-15,Premium,Yes,7,2,Yes
C003,S103,Monitor,Active,2022-04-20,2023-03-08,Basic,Yes,16,2,Yes
C001,S101,Laptop,Active,2020-04-30,2021-10-23,Premium,Yes,18,0,Yes
C020,S120,Printer,Active,2022-07-17,2023-06-15,Premium,Yes,29,3,Yes
C001,S101,Laptop,Active,2020-05-12,2021-11-24,Premium,Yes,18,0,Yes
C003,S103,Monitor,Active,2022-04-03,2023-04-16,Basic,Yes,30,4,Yes
C018,S118,Monitor,Active,2021-03-29,2022-02-22,Basic,Yes,24,2,Yes
